Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,1-9L,174,265,48,156,65,55.5,143,494,69,41.5,238,68,195,81,115.5,19,145.5,114,107,61,72.5,1281,127,69.5,86,693,48,50,1115,2651.5,172,76
,1-9T,659,6680.5,41,417,100,90,109,78,51,54,2337,88.5,92.5,115,109.5,43,509,93,97.5,78,73,40478,189,536,84,728,82.5,57.5,5104,425,7789.5,97.5
,1-9T,553,4445,43.5,422,131,84,143,63.5,76,51,1962,64,81,116,142,53,454,78,157,79,108,37702,351.5,719.5,70,723,103,58.5,4716.5,726,6105,71.5
,2-1L,6869,15892,49,9682.5,145,83,117,1800,135,3297,678,97,146,177,115,59,1129,189,124,94.5,115,8333,293,447,241,854.5,61,81,19637.5,3566,226,85
,2-1L,6898,16142.5,47,9670,115.5,69,121,1751,122,3138,633,77,133,170.5,158,38.5,1015,180.5,193.5,96,113.5,8557,227,414,209.5,846.5,56,56,20551,3730.5,102,79
,2-1T,2094,15504.5,63,839,155,107.5,327,557,117.5,2681,7862,83,110,123,94,51.5,1061,107.5,254,76,99,41310,1266,4367.5,2349,1073,243,39020,17681.5,1080,7660.5,109
,2-1T,1382,13624,46,607.5,179,129,250.5,294.5,99,1217.5,6996.5,69,85,152,107,54,727,137.5,267.5,75.5,74,37054,1041,3163,2173,1001.5,226,30508.5,16058,985,7032,104
,2-2L,2687,7645.5,48.5,1924.5,119,75,105,740,70,733.5,322,80,136,157,151,53,614,178,180.5,73.5,134,8095,199,148,133,755,89.5,60.5,18450,2872,305,72.5
,2-2L,1757.5,2781,58.5,1755.5,108,54,110,421,93,420,229,80,128,121,124,40,401,151,187,64,89,6425.5,158.5,108.5,105,743,85,33,15498,3159,247.5,85.5
,2-2T,798,15434,42.5,3019,112,70,98.5,207,80,762.5,1123,61.5,70.5,110.5,110,49,773,70,111,77,84.5,43322,266,1949.5,394,847,142,1234.5,16429,1999,2424,103.5
,2-2T,899.5,17147.5,56,2835,99,86.5,118,216.5,82,767.5,1097,88,57,156,126.5,46,803,141,124,89,126.5,45936,263,1455,347,780,186,1238,17228,2077.5,2401,100
,2-3L,282,1033,59,1966,67,43,97.5,793,75,184,242,69,162,109,111,45,322,173,134,58.5,71,6614,106,121.5,84,783,81,63,8498,1899,143,87
,2-3L,269,1406,73,1855,80,64,91.5,703,85.5,181,270,93,176,140,146,40,277,222,99,61,78.5,6594,136.5,112,99.5,992.5,50,67.5,7867,1517,206,88
,2-3T,764,11147,41,6603,170,114,123.5,178.5,90,486.5,772,70,94.5,118,104,45,399,114,151,73,68,41842.5,253,1164.5,1751,1078,186,8686.5,7874.5,1864,6706,84
,2-3T,825,11006.5,46,6324,171,57.5,106,149,76.5,398,760,83,98,118.5,83,23.5,298,91,153,68,60,40084,241,1085,1545,1065,130,6770,7695,1624,5837,75
,2-4L,2082,5962.5,46,351,112,60,92,864,88.5,982,282,82,124,153.5,132,47,261,136,195,77.5,131,2951,231,114,85,749.5,82,54,7896,2192,260,69
,2-4L,1933,6086,67,354,114,77.5,110,832,87.5,985,261,73,142,125.5,136.5,56.5,260,132,215,88.5,119,2761.5,200,124.5,93,719,72.5,52,8266,2165,215.5,74
,2-4T,1666,18453,43.5,1898,127,87,170,202,92.5,9595.5,2033,78.5,106,129,90.5,45,592.5,120.5,100,102.5,81,50400.5,332.5,1856,181,723,171,664,19371.5,1157,3295,79
,2-4T,1126,14819,59,1579.5,149.5,80,200,160,95,6185,1605,86,104,182,120,40,386,122,178,69.5,109,41565,302,1580.5,148,788,185,460.5,18273,965,3075,83.5
,2-5L,1040,12026,65,966,136,90,215,2388,126.5,13880,564,107,178,245,163,65.5,592,209,243,80.5,110,5890,192,206,160,852,107.5,75,15668.5,2089,199,74.5
,2-5L,1010,15797,50,1145,99,63,73.5,2349,159,15672,573,80,176,220,120,42.5,608.5,187,173.5,99,122.5,7972.5,170,198,163,858,66.5,53,16295,2128,202,65
,2-5T,547.5,18842.5,72,1927.5,196,84.5,97,213,79,6595,715,79,149,164,124,50,669.5,116,184,80,70,35574,248,1487.5,803.5,959,242,13317,22760,2141,6723,103.5
,2-5T,487,18735,60.5,2077,189.5,78,113,236,100,6153,857,84,128.5,177.5,130,47,655,87.5,224,82.5,115,31826.5,290,1587,906,944,238,12385.5,20123,2073,5520.5,106.5
,2-6L,1943.5,7401,86,407,161,80.5,272,903,159,406,481,99,134.5,216.5,179.5,63,638.5,274,276,65,173.5,12514.5,268,183.5,124,816,110.5,94,15669,1338.5,191.5,112
,2-6L,1369,5079,83,10636.5,120,68,99,681.5,97,284,369,67,126,150,154.5,72,500,158,238,75.5,122.5,9985.5,200,126,95,727,75,78,16072,2474,163.5,79
